Index,CosineValue
0,1.000000
1,1.000000
2,0.999999
3,0.999998
4,0.999997
5,0.999995
6,0.999993
7,0.999990
8,0.999987
9,0.999984
10,0.999980
11,0.999976
12,0.999972
13,0.999967
14,0.999961
15,0.999956
16,0.999949
17,0.999943
18,0.999936
19,0.999929
20,0.999921
21,0.999913
22,0.999904
23,0.999896
24,0.999886
25,0.999877
26,0.999867
27,0.999856
28,0.999845
29,0.999834
30,0.999822
31,0.999810
32,0.999798
33,0.999785
34,0.999772
35,0.999758
36,0.999744
37,0.999730
38,0.999715
39,0.999700
40,0.999684
41,0.999668
42,0.999652
43,0.999635
44,0.999618
45,0.999600
46,0.999582
47,0.999564
48,0.999545
49,0.999526
50,0.999507
51,0.999487
52,0.999466
53,0.999446
54,0.999424
55,0.999403
56,0.999381
57,0.999359
58,0.999336
59,0.999313
60,0.999289
61,0.999266
62,0.999241
63,0.999217
64,0.999192
65,0.999166
66,0.999140
67,0.999114
68,0.999087
69,0.999060
70,0.999033
71,0.999005
72,0.998977
73,0.998948
74,0.998919
75,0.998890
76,0.998860
77,0.998830
78,0.998799
79,0.998768
80,0.998737
81,0.998705
82,0.998673
83,0.998640
84,0.998608
85,0.998574
86,0.998540
87,0.998506
88,0.998472
89,0.998437
90,0.998402
91,0.998366
92,0.998330
93,0.998293
94,0.998256
95,0.998219
96,0.998181
97,0.998143
98,0.998105
99,0.998066
100,0.998027
101,0.997987
102,0.997947
103,0.997907
104,0.997866
105,0.997825
106,0.997783
107,0.997741
108,0.997699
109,0.997656
110,0.997613
111,0.997569
112,0.997525
113,0.997481
114,0.997436
115,0.997391
116,0.997345
117,0.997299
118,0.997253
119,0.997206
120,0.997159
121,0.997111
122,0.997063
123,0.997015
124,0.996966
125,0.996917
126,0.996868
127,0.996818
128,0.996768
129,0.996717
130,0.996666
131,0.996614
132,0.996563
133,0.996510
134,0.996458
135,0.996405
136,0.996351
137,0.996297
138,0.996243
139,0.996189
140,0.996134
141,0.996078
142,0.996022
143,0.995966
144,0.995910
145,0.995853
146,0.995795
147,0.995738
148,0.995679
149,0.995621
150,0.995562
151,0.995503
152,0.995443
153,0.995383
154,0.995322
155,0.995261
156,0.995200
157,0.995138
158,0.995076
159,0.995014
160,0.994951
161,0.994888
162,0.994824
163,0.994760
164,0.994696
165,0.994631
166,0.994566
167,0.994500
168,0.994434
169,0.994368
170,0.994301
171,0.994234
172,0.994166
173,0.994098
174,0.994030
175,0.993961
176,0.993892
177,0.993822
178,0.993752
179,0.993682
180,0.993611
181,0.993540
182,0.993469
183,0.993397
184,0.993325
185,0.993252
186,0.993179
187,0.993105
188,0.993031
189,0.992957
190,0.992883
191,0.992808
192,0.992732
193,0.992656
194,0.992580
195,0.992504
196,0.992427
197,0.992349
198,0.992271
199,0.992193
200,0.992115
201,0.992036
202,0.991956
203,0.991877
204,0.991797
205,0.991716
206,0.991635
207,0.991554
208,0.991472
209,0.991390
210,0.991308
211,0.991225
212,0.991142
213,0.991058
214,0.990974
215,0.990889
216,0.990805
217,0.990719
218,0.990634
219,0.990548
220,0.990461
221,0.990375
222,0.990287
223,0.990200
224,0.990112
225,0.990024
226,0.989935
227,0.989846
228,0.989756
229,0.989666
230,0.989576
231,0.989485
232,0.989394
233,0.989303
234,0.989211
235,0.989119
236,0.989026
237,0.988933
238,0.988840
239,0.988746
240,0.988652
241,0.988557
242,0.988462
243,0.988367
244,0.988271
245,0.988175
246,0.988078
247,0.987981
248,0.987884
249,0.987786
250,0.987688
251,0.987590
252,0.987491
253,0.987392
254,0.987292
255,0.987192
256,0.987092
257,0.986991
258,0.986890
259,0.986788
260,0.986686
261,0.986584
262,0.986481
263,0.986378
264,0.986274
265,0.986170
266,0.986066
267,0.985961
268,0.985856
269,0.985750
270,0.985645
271,0.985538
272,0.985432
273,0.985325
274,0.985217
275,0.985109
276,0.985001
277,0.984892
278,0.984783
279,0.984674
280,0.984564
281,0.984454
282,0.984344
283,0.984233
284,0.984121
285,0.984010
286,0.983898
287,0.983785
288,0.983672
289,0.983559
290,0.983445
291,0.983331
292,0.983217
293,0.983102
294,0.982987
295,0.982871
296,0.982755
297,0.982639
298,0.982522
299,0.982405
300,0.982287
301,0.982169
302,0.982051
303,0.981932
304,0.981813
305,0.981694
306,0.981574
307,0.981454
308,0.981333
309,0.981212
310,0.981091
311,0.980969
312,0.980847
313,0.980724
314,0.980601
315,0.980478
316,0.980354
317,0.980230
318,0.980105
319,0.979980
320,0.979855
321,0.979729
322,0.979603
323,0.979477
324,0.979350
325,0.979223
326,0.979095
327,0.978967
328,0.978839
329,0.978710
330,0.978581
331,0.978451
332,0.978321
333,0.978191
334,0.978060
335,0.977929
336,0.977798
337,0.977666
338,0.977534
339,0.977401
340,0.977268
341,0.977135
342,0.977001
343,0.976867
344,0.976732
345,0.976597
346,0.976462
347,0.976326
348,0.976190
349,0.976054
350,0.975917
351,0.975780
352,0.975642
353,0.975504
354,0.975365
355,0.975227
356,0.975087
357,0.974948
358,0.974808
359,0.974668
360,0.974527
361,0.974386
362,0.974244
363,0.974102
364,0.973960
365,0.973817
366,0.973674
367,0.973531
368,0.973387
369,0.973243
370,0.973099
371,0.972954
372,0.972808
373,0.972663
374,0.972516
375,0.972370
376,0.972223
377,0.972076
378,0.971928
379,0.971780
380,0.971632
381,0.971483
382,0.971334
383,0.971184
384,0.971034
385,0.970884
386,0.970733
387,0.970582
388,0.970431
389,0.970279
390,0.970127
391,0.969974
392,0.969821
393,0.969668
394,0.969514
395,0.969360
396,0.969205
397,0.969050
398,0.968895
399,0.968739
400,0.968583
401,0.968427
402,0.968270
403,0.968113
404,0.967955
405,0.967797
406,0.967639
407,0.967480
408,0.967321
409,0.967161
410,0.967001
411,0.966841
412,0.966681
413,0.966520
414,0.966358
415,0.966196
416,0.966034
417,0.965872
418,0.965709
419,0.965545
420,0.965382
421,0.965218
422,0.965053
423,0.964888
424,0.964723
425,0.964557
426,0.964391
427,0.964225
428,0.964058
429,0.963891
430,0.963724
431,0.963556
432,0.963388
433,0.963219
434,0.963050
435,0.962880
436,0.962711
437,0.962540
438,0.962370
439,0.962199
440,0.962028
441,0.961856
442,0.961684
443,0.961511
444,0.961339
445,0.961165
446,0.960992
447,0.960818
448,0.960644
449,0.960469
450,0.960294
451,0.960118
452,0.959942
453,0.959766
454,0.959589
455,0.959412
456,0.959235
457,0.959057
458,0.958879
459,0.958701
460,0.958522
461,0.958343
462,0.958163
463,0.957983
464,0.957802
465,0.957622
466,0.957440
467,0.957259
468,0.957077
469,0.956895
470,0.956712
471,0.956529
472,0.956346
473,0.956162
474,0.955978
475,0.955793
476,0.955608
477,0.955423
478,0.955237
479,0.955051
480,0.954865
481,0.954678
482,0.954491
483,0.954303
484,0.954115
485,0.953927
486,0.953738
487,0.953549
488,0.953359
489,0.953170
490,0.952979
491,0.952789
492,0.952598
493,0.952406
494,0.952215
495,0.952023
496,0.951830
497,0.951637
498,0.951444
499,0.951250
500,0.951057
501,0.950862
502,0.950667
503,0.950472
504,0.950277
505,0.950081
506,0.949885
507,0.949688
508,0.949491
509,0.949294
510,0.949096
511,0.948898
512,0.948700
513,0.948501
514,0.948302
515,0.948102
516,0.947902
517,0.947702
518,0.947501
519,0.947300
520,0.947098
521,0.946896
522,0.946694
523,0.946492
524,0.946289
525,0.946085
526,0.945882
527,0.945678
528,0.945473
529,0.945268
530,0.945063
531,0.944857
532,0.944652
533,0.944445
534,0.944239
535,0.944031
536,0.943824
537,0.943616
538,0.943408
539,0.943199
540,0.942991
541,0.942781
542,0.942572
543,0.942362
544,0.942151
545,0.941940
546,0.941729
547,0.941518
548,0.941306
549,0.941093
550,0.940881
551,0.940668
552,0.940454
553,0.940241
554,0.940026
555,0.939812
556,0.939597
557,0.939382
558,0.939166
559,0.938950
560,0.938734
561,0.938517
562,0.938300
563,0.938083
564,0.937865
565,0.937646
566,0.937428
567,0.937209
568,0.936990
569,0.936770
570,0.936550
571,0.936329
572,0.936109
573,0.935887
574,0.935666
575,0.935444
576,0.935222
577,0.934999
578,0.934776
579,0.934553
580,0.934329
581,0.934105
582,0.933880
583,0.933655
584,0.933430
585,0.933205
586,0.932979
587,0.932752
588,0.932526
589,0.932299
590,0.932071
591,0.931843
592,0.931615
593,0.931387
594,0.931158
595,0.930928
596,0.930699
597,0.930469
598,0.930238
599,0.930008
600,0.929776
601,0.929545
602,0.929313
603,0.929081
604,0.928848
605,0.928615
606,0.928382
607,0.928148
608,0.927914
609,0.927680
610,0.927445
611,0.927210
612,0.926974
613,0.926739
614,0.926502
615,0.926266
616,0.926029
617,0.925791
618,0.925554
619,0.925316
620,0.925077
621,0.924838
622,0.924599
623,0.924360
624,0.924120
625,0.923880
626,0.923639
627,0.923398
628,0.923157
629,0.922915
630,0.922673
631,0.922430
632,0.922187
633,0.921944
634,0.921701
635,0.921457
636,0.921213
637,0.920968
638,0.920723
639,0.920478
640,0.920232
641,0.919986
642,0.919739
643,0.919492
644,0.919245
645,0.918998
646,0.918750
647,0.918502
648,0.918253
649,0.918004
650,0.917755
651,0.917505
652,0.917255
653,0.917004
654,0.916754
655,0.916502
656,0.916251
657,0.915999
658,0.915747
659,0.915494
660,0.915241
661,0.914988
662,0.914734
663,0.914480
664,0.914226
665,0.913971
666,0.913716
667,0.913460
668,0.913204
669,0.912948
670,0.912692
671,0.912435
672,0.912177
673,0.911920
674,0.911662
675,0.911403
676,0.911145
677,0.910885
678,0.910626
679,0.910366
680,0.910106
681,0.909845
682,0.909585
683,0.909323
684,0.909062
685,0.908800
686,0.908537
687,0.908275
688,0.908012
689,0.907748
690,0.907484
691,0.907220
692,0.906956
693,0.906691
694,0.906426
695,0.906160
696,0.905894
697,0.905628
698,0.905361
699,0.905094
700,0.904827
701,0.904559
702,0.904291
703,0.904023
704,0.903754
705,0.903485
706,0.903215
707,0.902946
708,0.902675
709,0.902405
710,0.902134
711,0.901863
712,0.901591
713,0.901319
714,0.901047
715,0.900774
716,0.900501
717,0.900228
718,0.899954
719,0.899680
720,0.899405
721,0.899130
722,0.898855
723,0.898580
724,0.898304
725,0.898028
726,0.897751
727,0.897474
728,0.897197
729,0.896919
730,0.896641
731,0.896363
732,0.896084
733,0.895805
734,0.895525
735,0.895246
736,0.894966
737,0.894685
738,0.894404
739,0.894123
740,0.893841
741,0.893560
742,0.893277
743,0.892995
744,0.892712
745,0.892428
746,0.892145
747,0.891861
748,0.891576
749,0.891292
750,0.891007
751,0.890721
752,0.890435
753,0.890149
754,0.889863
755,0.889576
756,0.889289
757,0.889001
758,0.888713
759,0.888425
760,0.888136
761,0.887848
762,0.887558
763,0.887269
764,0.886979
765,0.886688
766,0.886398
767,0.886107
768,0.885815
769,0.885523
770,0.885231
771,0.884939
772,0.884646
773,0.884353
774,0.884059
775,0.883766
776,0.883471
777,0.883177
778,0.882882
779,0.882587
780,0.882291
781,0.881995
782,0.881699
783,0.881402
784,0.881105
785,0.880808
786,0.880510
787,0.880212
788,0.879914
789,0.879615
790,0.879316
791,0.879017
792,0.878717
793,0.878417
794,0.878117
795,0.877816
796,0.877515
797,0.877213
798,0.876911
799,0.876609
800,0.876307
801,0.876004
802,0.875701
803,0.875397
804,0.875093
805,0.874789
806,0.874484
807,0.874179
808,0.873874
809,0.873568
810,0.873262
811,0.872956
812,0.872649
813,0.872342
814,0.872035
815,0.871727
816,0.871419
817,0.871111
818,0.870802
819,0.870493
820,0.870184
821,0.869874
822,0.869564
823,0.869253
824,0.868943
825,0.868632
826,0.868320
827,0.868008
828,0.867696
829,0.867384
830,0.867071
831,0.866758
832,0.866444
833,0.866130
834,0.865816
835,0.865501
836,0.865186
837,0.864871
838,0.864556
839,0.864240
840,0.863923
841,0.863607
842,0.863290
843,0.862973
844,0.862655
845,0.862337
846,0.862019
847,0.861700
848,0.861381
849,0.861062
850,0.860742
851,0.860422
852,0.860102
853,0.859781
854,0.859460
855,0.859139
856,0.858817
857,0.858495
858,0.858172
859,0.857850
860,0.857527
861,0.857203
862,0.856880
863,0.856555
864,0.856231
865,0.855906
866,0.855581
867,0.855256
868,0.854930
869,0.854604
870,0.854277
871,0.853951
872,0.853624
873,0.853296
874,0.852968
875,0.852640
876,0.852312
877,0.851983
878,0.851654
879,0.851324
880,0.850994
881,0.850664
882,0.850334
883,0.850003
884,0.849672
885,0.849340
886,0.849009
887,0.848676
888,0.848344
889,0.848011
890,0.847678
891,0.847344
892,0.847011
893,0.846676
894,0.846342
895,0.846007
896,0.845672
897,0.845336
898,0.845001
899,0.844664
900,0.844328
901,0.843991
902,0.843654
903,0.843316
904,0.842979
905,0.842640
906,0.842302
907,0.841963
908,0.841624
909,0.841284
910,0.840945
911,0.840604
912,0.840264
913,0.839923
914,0.839582
915,0.839240
916,0.838899
917,0.838556
918,0.838214
919,0.837871
920,0.837528
921,0.837185
922,0.836841
923,0.836497
924,0.836152
925,0.835807
926,0.835462
927,0.835117
928,0.834771
929,0.834425
930,0.834078
931,0.833732
932,0.833385
933,0.833037
934,0.832689
935,0.832341
936,0.831993
937,0.831644
938,0.831295
939,0.830946
940,0.830596
941,0.830246
942,0.829895
943,0.829545
944,0.829194
945,0.828842
946,0.828491
947,0.828139
948,0.827786
949,0.827434
950,0.827081
951,0.826727
952,0.826374
953,0.826020
954,0.825665
955,0.825311
956,0.824956
957,0.824600
958,0.824245
959,0.823889
960,0.823533
961,0.823176
962,0.822819
963,0.822462
964,0.822104
965,0.821746
966,0.821388
967,0.821030
968,0.820671
969,0.820312
970,0.819952
971,0.819592
972,0.819232
973,0.818872
974,0.818511
975,0.818150
976,0.817788
977,0.817426
978,0.817064
979,0.816702
980,0.816339
981,0.815976
982,0.815613
983,0.815249
984,0.814885
985,0.814521
986,0.814156
987,0.813791
988,0.813426
989,0.813060
990,0.812694
991,0.812328
992,0.811961
993,0.811594
994,0.811227
995,0.810860
996,0.810492
997,0.810124
998,0.809755
999,0.809386
1000,0.809017
1001,0.808648
1002,0.808278
1003,0.807908
1004,0.807537
1005,0.807166
1006,0.806795
1007,0.806424
1008,0.806052
1009,0.805680
1010,0.805308
1011,0.804935
1012,0.804562
1013,0.804189
1014,0.803815
1015,0.803441
1016,0.803067
1017,0.802693
1018,0.802318
1019,0.801943
1020,0.801567
1021,0.801191
1022,0.800815
1023,0.800439
1024,0.800062
1025,0.799685
1026,0.799307
1027,0.798930
1028,0.798551
1029,0.798173
1030,0.797794
1031,0.797415
1032,0.797036
1033,0.796657
1034,0.796277
1035,0.795896
1036,0.795516
1037,0.795135
1038,0.794754
1039,0.794372
1040,0.793990
1041,0.793608
1042,0.793226
1043,0.792843
1044,0.792460
1045,0.792077
1046,0.791693
1047,0.791309
1048,0.790925
1049,0.790540
1050,0.790155
1051,0.789770
1052,0.789384
1053,0.788998
1054,0.788612
1055,0.788226
1056,0.787839
1057,0.787452
1058,0.787064
1059,0.786676
1060,0.786288
1061,0.785900
1062,0.785511
1063,0.785122
1064,0.784733
1065,0.784343
1066,0.783954
1067,0.783563
1068,0.783173
1069,0.782782
1070,0.782391
1071,0.781999
1072,0.781608
1073,0.781215
1074,0.780823
1075,0.780430
1076,0.780037
1077,0.779644
1078,0.779250
1079,0.778857
1080,0.778462
1081,0.778068
1082,0.777673
1083,0.777278
1084,0.776882
1085,0.776487
1086,0.776090
1087,0.775694
1088,0.775297
1089,0.774900
1090,0.774503
1091,0.774105
1092,0.773708
1093,0.773309
1094,0.772911
1095,0.772512
1096,0.772113
1097,0.771713
1098,0.771314
1099,0.770914
1100,0.770513
1101,0.770113
1102,0.769712
1103,0.769310
1104,0.768909
1105,0.768507
1106,0.768105
1107,0.767702
1108,0.767299
1109,0.766896
1110,0.766493
1111,0.766089
1112,0.765685
1113,0.765281
1114,0.764876
1115,0.764472
1116,0.764066
1117,0.763661
1118,0.763255
1119,0.762849
1120,0.762443
1121,0.762036
1122,0.761629
1123,0.761221
1124,0.760814
1125,0.760406
1126,0.759998
1127,0.759589
1128,0.759180
1129,0.758771
1130,0.758362
1131,0.757952
1132,0.757542
1133,0.757132
1134,0.756721
1135,0.756310
1136,0.755899
1137,0.755488
1138,0.755076
1139,0.754664
1140,0.754251
1141,0.753839
1142,0.753426
1143,0.753012
1144,0.752599
1145,0.752185
1146,0.751771
1147,0.751356
1148,0.750942
1149,0.750526
1150,0.750111
1151,0.749695
1152,0.749279
1153,0.748863
1154,0.748447
1155,0.748030
1156,0.747613
1157,0.747195
1158,0.746777
1159,0.746359
1160,0.745941
1161,0.745523
1162,0.745104
1163,0.744684
1164,0.744265
1165,0.743845
1166,0.743425
1167,0.743005
1168,0.742584
1169,0.742163
1170,0.741742
1171,0.741320
1172,0.740898
1173,0.740476
1174,0.740054
1175,0.739631
1176,0.739208
1177,0.738785
1178,0.738361
1179,0.737937
1180,0.737513
1181,0.737089
1182,0.736664
1183,0.736239
1184,0.735813
1185,0.735388
1186,0.734962
1187,0.734536
1188,0.734109
1189,0.733682
1190,0.733255
1191,0.732828
1192,0.732400
1193,0.731972
1194,0.731544
1195,0.731116
1196,0.730687
1197,0.730258
1198,0.729828
1199,0.729399
1200,0.728969
1201,0.728538
1202,0.728108
1203,0.727677
1204,0.727246
1205,0.726814
1206,0.726383
1207,0.725951
1208,0.725519
1209,0.725086
1210,0.724653
1211,0.724220
1212,0.723787
1213,0.723353
1214,0.722919
1215,0.722485
1216,0.722050
1217,0.721615
1218,0.721180
1219,0.720745
1220,0.720309
1221,0.719873
1222,0.719437
1223,0.719000
1224,0.718563
1225,0.718126
1226,0.717689
1227,0.717251
1228,0.716813
1229,0.716375
1230,0.715936
1231,0.715498
1232,0.715059
1233,0.714619
1234,0.714180
1235,0.713740
1236,0.713299
1237,0.712859
1238,0.712418
1239,0.711977
1240,0.711536
1241,0.711094
1242,0.710652
1243,0.710210
1244,0.709767
1245,0.709325
1246,0.708882
1247,0.708438
1248,0.707995
1249,0.707551
1250,0.707107
1251,0.706662
1252,0.706218
1253,0.705773
1254,0.705327
1255,0.704882
1256,0.704436
1257,0.703990
1258,0.703544
1259,0.703097
1260,0.702650
1261,0.702203
1262,0.701755
1263,0.701308
1264,0.700859
1265,0.700411
1266,0.699963
1267,0.699514
1268,0.699065
1269,0.698615
1270,0.698165
1271,0.697715
1272,0.697265
1273,0.696815
1274,0.696364
1275,0.695913
1276,0.695461
1277,0.695010
1278,0.694558
1279,0.694106
1280,0.693653
1281,0.693201
1282,0.692748
1283,0.692294
1284,0.691841
1285,0.691387
1286,0.690933
1287,0.690479
1288,0.690024
1289,0.689569
1290,0.689114
1291,0.688658
1292,0.688203
1293,0.687747
1294,0.687290
1295,0.686834
1296,0.686377
1297,0.685920
1298,0.685463
1299,0.685005
1300,0.684547
1301,0.684089
1302,0.683631
1303,0.683172
1304,0.682713
1305,0.682254
1306,0.681794
1307,0.681334
1308,0.680874
1309,0.680414
1310,0.679953
1311,0.679493
1312,0.679031
1313,0.678570
1314,0.678108
1315,0.677646
1316,0.677184
1317,0.676722
1318,0.676259
1319,0.675796
1320,0.675333
1321,0.674869
1322,0.674405
1323,0.673941
1324,0.673477
1325,0.673013
1326,0.672548
1327,0.672083
1328,0.671617
1329,0.671151
1330,0.670686
1331,0.670219
1332,0.669753
1333,0.669286
1334,0.668819
1335,0.668352
1336,0.667885
1337,0.667417
